run_accession	study_accession	experiment_alias	fastq_ftp
SRR20011318	PRJNA856341	W12_PV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/018/SRR20011318/SRR20011318_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/018/SRR20011318/SRR20011318_2.fastq.gz
SRR20011185	PRJNA856341	W4_PP7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/085/SRR20011185/SRR20011185_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/085/SRR20011185/SRR20011185_2.fastq.gz
SRR20011189	PRJNA856341	W4_PP3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/089/SRR20011189/SRR20011189_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/089/SRR20011189/SRR20011189_2.fastq.gz
SRR20011193	PRJNA856341	W4_PV7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/093/SRR20011193/SRR20011193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/093/SRR20011193/SRR20011193_2.fastq.gz
SRR20011319	PRJNA856341	W12_PV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/019/SRR20011319/SRR20011319_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/019/SRR20011319/SRR20011319_2.fastq.gz
SRR20011201	PRJNA856341	W4_NTC6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/001/SRR20011201/SRR20011201_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/001/SRR20011201/SRR20011201_2.fastq.gz
SRR20011338	PRJNA856341	W8_SV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/038/SRR20011338/SRR20011338_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/038/SRR20011338/SRR20011338_2.fastq.gz
SRR20011204	PRJNA856341	W4_NTC4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/004/SRR20011204/SRR20011204.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/004/SRR20011204/SRR20011204_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/004/SRR20011204/SRR20011204_2.fastq.gz
SRR20011339	PRJNA856341	W8_SV5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/039/SRR20011339/SRR20011339_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/039/SRR20011339/SRR20011339_2.fastq.gz
SRR20011205	PRJNA856341	W4_NTC3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/005/SRR20011205/SRR20011205_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/005/SRR20011205/SRR20011205_2.fastq.gz
